Unfair Workplace Practices and Lack of Growth Opportunities and Poor Work Conditions and Management Support:,rating_date,employee_length,employee_status,employee_type,flags_ceo_approval,rating_overall,rating_work_life,summary,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_compensation_benefits,rating_senior_leadership,rating_career_opportunities,cleaned_summary,cleaned_advice,cleaned_reviewPros,cleaned_reviewCons
30,2025-03-31T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",,5,0,Fulfillment Center,"Aurora, CO",Warehouse Associate,,"Flexible Schedule
4 day/10 hour shifts
Low Stress Environment
Frequent Overtime Opportunity","Monotonous Work
Not Particularly Rewarding Work
Work Can Become Slow from January to May",0,0,0,fulfillment center, ,flexible schedule 4 day10 hour shifts low stress environment frequent overtime opportunity,monotonous work particularly rewarding work work become slow january may
31,2025-03-31T00:00:00.000Z,0,,Former employee,,4,0,Buen trabajo,Coslada,Mozo De Almacen,,"Buen sueldo, ambiente laboral agradable, respeto por las normas de seguridad","Descanso muy corto, muchos jefes por lo que las ordenes pueden variar de uno a otro y puede confundir al empleado.",0,0,0,buen trabajo, ,buen sueldo ambiente laboral agradable respeto por las normas de seguridad,descanso muy corto muchos jefes por lo que las ordenes pueden variar de uno otro puede confundir al empleado
32,2025-03-27T00:00:00.000Z,2,REGULAR,Current employees,APPROVE,3,3,Amazon Warehouse Associate,"Ottawa, ON",Process Associate,"Try to focus more on employee engagement and break the barriers of community, race or personal biases
Give opportunities to employees to grow rather than nurturing a neo slavery attitude
There are many associates who are skilled and experienced but working in warehouse due to personal situation. Leadership should give them opportunity to optimize their skills and experience rather than taking their advantage and utilizing them for only labor works.","Best in class work environment
Experience working in robotic environment
Competitive work benefits and accommodations","Too much physical work with not much of Job security
Pressure for target work negatively impact physical and mental health
Biased leadership - does not justify experience skills or ability but personal connections and nepotism works more for training promotion and preferred job roles",3,2,3,amazon warehouse associate,try focus employee engagement break barriers community race personal biases give opportunities employees grow rather nurturing neo slavery attitude many associates skilled experienced working warehouse due personal situation leadership give opportunity optimize skills experience rather taking advantage utilizing labor works,best class work environment experience working robotic environment competitive work benefits accommodations,much physical work much job security pressure target work negatively impact physical mental health biased leadership justify experience skills ability personal connections nepotism works training promotion preferred job roles
33,2025-03-26T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",APPROVE,4,0,Hard work but decent pay,"Edgemere, MD",Order Picker,,"Good benefits, decent time off opportunities. Automatic hire without an interview.",Management will move you around the building a lot. I was a top performer in order picking and was moved to pack nearly every day.,0,0,0,hard work decent pay, ,good benefits decent time opportunities automatic hire without interview,management move around building lot top performer order picking moved pack nearly every day
34,2025-03-26T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",,4,3,amzn,"San Antonio, TX",Fulfullment Associate,,They pay for you if you want to go to college.,it's just a lot of work you have to do,2,1,3,amzn, ,pay want go college,lot work
35,2025-03-24T00:00:00.000Z,2,REGULAR,Current employees,,3,4,Salary,"Ajax, ON",Warehouse Associate,,"Good pay and benefits
Good people 
Safety first","Biased management 
Work like robots
No growth/opportunities",4,1,1,salary, ,good pay benefits good people safety first,biased management work like robots growthopportunities
36,2025-03-20T00:00:00.000Z,0,REGULAR,Former employee,,3,0,Amazon Warehouse,"Grand Rapids, MI",Warehouse Team Member,,It was close to home,Gloves were not strong enough,0,0,0,amazon warehouse, ,close home,gloves strong enough
37,2025-03-19T00:00:00.000Z,0,REGULAR,Current employee,,3,1,Good experience,"Tracy, CA",,,Good experience for fresh college graduate,very loud noise in Fulfillment center,3,1,4,good experience, ,good experience fresh college graduate,loud noise fulfillment center
38,2025-03-19T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",,4,0,Good place to work seasonally,"West Jefferson, OH",Associate,,#NAME?,#NAME?,0,0,0,good place work seasonally, ,name,name
39,2025-03-18T00:00:00.000Z,1,CONTRACT,"Former employee, less than 1 year",APPROVE,5,4,Inbound Receiving,"Brampton, ON",Warehouse Associate,,"Good work culture and pay also
events for extracurriculam activity",Quiet racist because most employee is belong from one group or race,5,5,5,inbound receiving, ,good work culture pay also events extracurriculam activity,quiet racist employee belong one group race
40,2025-03-18T00:00:00.000Z,2,REGULAR,Current employees,,5,5,Satisfied,"London, ON",Associate,,Work life balance and benefits,Mandatory extra time is required,5,5,5,satisfied, ,work life balance benefits,mandatory extra time required
41,2025-03-13T00:00:00.000Z,0,REGULAR,Former employee,,4,4,Easy money,,AA(Amazon Associate),,The pay and benefits are really good,Toxic work environment and favoritism,5,4,4,easy money, ,pay benefits really good,toxic work environment favoritism
42,2025-03-12T00:00:00.000Z,0,PART_TIME,Former employee,,4,0,Good salary and benefits,"Mississauga, ON",Warehouse Worker,,"Attractive pay , Employee Benefits",Contractual basis hiring based on business need,0,0,0,good salary benefits, ,attractive pay employee benefits,contractual basis hiring based business need
43,2025-03-08T00:00:00.000Z,0,REGULAR,Current employee,APPROVE,4,1,Muy buena opción de trabajo.,,Mozo De Almacen,Tener coche propio ya que no hay manera de trasladarse en transporte público.,"Muy Buenos beneficios.
Exelente ambiente de trabajo.
Ambiente de trabajo muy seguro.
Posibilidad de hacer carrera dentro de la empresa.","Salario no esta mal, pero se podría mejorar mucho más para el trabajo que se hace allí.
Horarios rotativos (no te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria).
Trabajo fines de semana.
Trabajo muy repetitivo..",3,3,3,muy buena opción de trabajo,tener coche propio ya que hay manera de trasladarse en transporte público,muy buenos beneficios exelente ambiente de trabajo ambiente de trabajo muy seguro posibilidad de hacer carrera dentro de la empresa,salario esta mal pero se podría mejorar mucho más para el trabajo que se hace allí horarios rotativos te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria trabajo fines de semana trabajo muy repetitivo
44,2025-03-07T00:00:00.000Z,4,REGULAR,Former employees,DISAPPROVE,2,1,culture terrible,"San Antonio, TX",Pathways Operations Manager,,Pay is comparable for ops,"poor work life balance, lack of leadership, very stressful job. No clear way for promotion or anyone to help you get there.",4,1,3,culture terrible, ,pay comparable ops,poor work life balance lack leadership stressful job clear way promotion anyone help get
45,2025-03-05T00:00:00.000Z,0,REGULAR,Current employee,,4,0,Easy work,"Bolton, ON",Warehouse Associate,,"Career Choice program is a great way to start new career.
Good benefits",Co-workers speak in non English to each other infront of you.,0,0,0,easy work, ,career choice program great way start new career good benefits,coworkers speak non english infront
46,2025-03-03T00:00:00.000Z,0,PART_TIME,Current employee,,5,0,Cool place to work,"Waukegan, IL",FC Associate,,Room to excel in your position,Extra shifts are never available,0,0,0,cool place work, ,room excel position,extra shifts never available
47,2025-03-03T00:00:00.000Z,2,PART_TIME,Current employees,,5,5,Not bad,"Kent, WA",Flex Associate,,Choose own hours and the work is not bad once you get use to it,Could be moved around a lot depending on different departments and sometimes hard to find shifts that you want to work in,4,5,4,bad, ,choose hours work bad get use,could moved around lot depending different departments sometimes hard find shifts want work
48,2025-03-03T00:00:00.000Z,2,REGULAR,Current employees,APPROVE,3,2,"Review of Fulfillment Centre at St. Thomas, ON",,FC Associate I,"- Provide everyone equal chance
- Make All managers more responsible towards all associates bcz sometimes associates don't know the actual information of them when they ask help from managers and what they say to HR or Safety team
- Hiring of positions specially PA(Process Assistant) and Learning needs to be evaluated based on your ground level performance not based on connections (if your relatives who are in higher position get  hired in PA / Learning ) 
- Safety team needs to be more responsible bcz mostly they don't took actions against managers who needs more productivity to get promoted so that Associates are presurised to maintain those productivity and compromise safety which ultimately creates critical health issues for associates
- Some associates got less work or promoted or learn new skills compared to others as they are favourite of Managers or relatives. Plz stop this to be fair with everyone","Pay and Benefits they provide like maternity, accommodation, insurance","Work-life balance, Continuous work without sitting, almost all location with no public transportation, lack of chance in promotion and new skills as they show they are giving fair chance to everyone but it's not true at ground level. The people of certain community especially punjabi's got promotions at HR, PA and Manager level. Lack of support from HR as they are not giving proper information when you actually need. Safety at ground level is compromised by managers bcz they want more productivity to get promotion. The people who always praised their managers got extra-benefits on work and able to learn new skills than other hard-working associates",5,3,3,review fulfillment centre st thomas,provide everyone equal chance make managers responsible towards associates bcz sometimes associates dont know actual information ask help managers say hr safety team hiring positions specially paprocess assistant learning needs evaluated based ground level performance based connections relatives higher position get hired pa learning safety team needs responsible bcz mostly dont took actions managers needs productivity get promoted associates presurised maintain productivity compromise safety ultimately creates critical health issues associates associates got less work promoted learn new skills compared others favourite managers relatives plz stop fair everyone,pay benefits provide like maternity accommodation insurance,worklife balance continuous work without sitting almost location public transportation lack chance promotion new skills show giving fair chance everyone true ground level people certain community especially punjabis got promotions hr pa manager level lack support hr giving proper information actually need safety ground level compromised managers bcz want productivity get promotion people always praised managers got extrabenefits work able learn new skills hardworking associates
49,2025-03-02T00:00:00.000Z,2,REGULAR,Former employees,NO_OPINION,3,5,Too monotonous for me.,"Bessemer, AL",Inbound Stower,"I understood the safety risk thing but the rule against having SOMETHING to distract you from the noise in your head for 10-11 hrs day after day when you're someone like me was kinda rough. Almost torturous. Just let people listen to music, man. lol",I got plenty of time off for mental stuff when I needed it when other places would have fired me,Then again.. this company might've contributed alot to why I needed so much time off lmao,4,1,1,monotonous,understood safety risk thing rule something distract noise head 1011 hrs day day youre someone like kinda rough almost torturous let people listen music man lol,got plenty time mental stuff needed places would fired,company mightve contributed alot needed much time lmao
50,2025-03-01T00:00:00.000Z,4,PART_TIME,Current employees,,5,0,It was alright.,"Hawthorne, CA",Warehouse Associate,,Great experience because I got to see the warehouse built from ground up.,Became repetitive at some point.,0,0,0,alright, ,great experience got see warehouse built ground,became repetitive point
51,2025-03-01T00:00:00.000Z,6,REGULAR,Current employees,,1,4,Workplace toxicity and favoritism,Sydney,IT Support Engineer,Apply practices that you preach and ensure it is followed by all and not just by the employees in the lower tier of the Organization's hierarchy. Train the Leaders and make sure they are doing due deligence for their role. Training future leaders won't make a bigger impact if the current leaders are exercising bias and have toxic traits while moving up the ladder.,A bit of learning if you are at the right place and the right team or assigned the right team member as a mentor.,"Don't bother joining IT though, there are no financial perks in it since they don't have casual/contract roles. The contract is cleverly worded to get you to work on weekends/night shifts without offering weekend/night shift allowances. No on-call pay either but they do reimburse *mobile bills*.
I have seen this culture in all departments and more so in IT.
Excessive flattery towards leadership, playing office politics, Seeking favoritism from leadership, appeasing leadership for personal gain, unhealthy admiration of authority, prioritizing leadership approval over team collaboration, performing for leadership rather than contributing meaningfully, Dysfunctional work environment, Hostile workplace dynamics, Unhealthy team culture, Negative organizational climate, Counterproductive work atmosphere, Culture of fear and favoritism, Lack of psychological safety in the workplace, Unprofessional and unsupportive work environment, Workplace toxicity and favoritism.",1,1,2,workplace toxicity favoritism,apply practices preach ensure followed employees lower tier organizations hierarchy train leaders make sure due deligence role training future leaders wont make bigger impact current leaders exercising bias toxic traits moving ladder,bit learning right place right team assigned right team member mentor,dont bother joining though financial perks since dont casualcontract roles contract cleverly worded get work weekendsnight shifts without offering weekendnight shift allowances oncall pay either reimburse mobile bills seen culture departments excessive flattery towards leadership playing office politics seeking favoritism leadership appeasing leadership personal gain unhealthy admiration authority prioritizing leadership approval team collaboration performing leadership rather contributing meaningfully dysfunctional work environment hostile workplace dynamics unhealthy team culture negative organizational climate counterproductive work atmosphere culture fear favoritism lack psychological safety workplace unprofessional unsupportive work environment workplace toxicity favoritism
52,2025-03-01T00:00:00.000Z,2,REGULAR,Former employees,APPROVE,4,4,Pros and cons,"Whitestown, IN",Warehouse Associate,Better pay hire on opportunity insurance for employees,Good place to work for lots of hours and keep you busy no down time .,Cons low pay no insurance temp service position,1,5,1,pros cons,better pay hire opportunity insurance employees,good place work lots hours keep busy time,cons low pay insurance temp service position
53,2025-02-27T00:00:00.000Z,4,REGULAR,Former employees,DISAPPROVE,1,1,Promote Based On Results Not Being a ‘Yes Man’,,Operations Manager,"Value honesty and ethics, treat people better and promote based on results only not politics. Set regional records but unable to get promoted since I wouldn’t lie about an HR situation(s) that AGM was apart of. So shady!","Stocks given as bonuses, but they take 3-4 years to fully vest so can be a negative.","The expectation is to work 7 days per week and always be available via phone. Even if you work 12 hours more is expected once you’re home. 
Upper management promotions should be based on achievements and how your team response to you, not being a ‘yes man’ The last GM/AGM were extremely unethical and only promoted people who would lie for them and they also fudged numbers",2,1,1,promote based results ‘yes man’,value honesty ethics treat people better promote based results politics set regional records unable get promoted since wouldn’t lie hr situations agm apart shady,stocks given bonuses take 34 years fully vest negative,expectation work 7 days per week always available via phone even work 12 hours expected you’re home upper management promotions based achievements team response ‘yes man’ last gmagm extremely unethical promoted people would lie also fudged numbers
54,2025-02-26T00:00:00.000Z,0,REGULAR,Former employee,,3,0,Monotonous,"Dallas, TX",Inbound Stower,,"Easy job, and can move up if desired","physically demanding
only care about rates",0,0,0,monotonous, ,easy job move desired,physically demanding care rates
55,2025-02-26T00:00:00.000Z,2,REGULAR,Current employees,APPROVE,5,5,Fast-paced work with good benefits,"St. Thomas, ON",Inbound Receive Dock,Improve break times and workload balance to reduce fatigue and increase employee retention.,"Competitive pay and benefits
Opportunity for career growth
Fast-paced and active work environment
Team-oriented workplace culture
Training provided, no experience required",Repetitive tasks can be exhausting,5,5,5,fastpaced work good benefits,improve break times workload balance reduce fatigue increase employee retention,competitive pay benefits opportunity career growth fastpaced active work environment teamoriented workplace culture training provided experience required,repetitive tasks exhausting
56,2025-02-25T00:00:00.000Z,0,REGULAR,Former employee,,3,0,Meh,"Illiopolis, IL",Operations Manager,,insane scope and opportunities- perks of being a part of huge company,untalented people in Sr positions that have gone far playing politics. Hard to advance if you don't have an agreeable personanlity,0,0,0,meh, ,insane scope opportunities perks part huge company,untalented people sr positions gone far playing politics hard advance dont agreeable personanlity
57,2025-02-25T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NO_OPINION,4,2,Former Amazon Warehouse employee,"Joliet, IL",Seasonal Warehouse Associate,,"Pay, peak time/bonus pay+hours, chill staff","The labor and the lack of available resources/people for workers requests, troubles with job or app/pay.",5,3,5,former amazon warehouse employee, ,pay peak timebonus payhours chill staff,labor lack available resourcespeople workers requests troubles job apppay
58,2025-02-25T00:00:00.000Z,2,FREELANCE,Former employees,,5,5,Good income,"San Francisco, CA",Seller,,Flexible schedule adjust your time,Too much competition sometimes you gotta lower your prices so much to get more deal but not good profit,5,5,5,good income, ,flexible schedule adjust time,much competition sometimes gotta lower prices much get deal good profit
59,2025-02-25T00:00:00.000Z,0,REGULAR,Current employee,APPROVE,5,5,Best place to work,"Swindon, Wiltshire, South West England, England",AA(Amazon Associate),,"Good working environment
Good pay",Heavy lifting . Sometimes can be stressful,5,5,5,best place work, ,good working environment good pay,heavy lifting sometimes stressful
60,2025-02-21T00:00:00.000Z,0,REGULAR,Former employee,,3,0,Picker Pay,"Fort Wayne, IN",Picker,,It is the easiest job I ever had.,They can get rid of you whenever they want.,0,0,0,picker pay, ,easiest job ever,get rid whenever want
61,2025-02-21T00:00:00.000Z,4,REGULAR,Former employees,,5,4,Super expérience,Orléans,HRA,,"Très bonne école
salaires généreux et CB avantageux","demande un investissement personnel important,",5,5,5,super expérience, ,très bonne école salaires généreux et cb avantageux,demande un investissement personnel important
62,2025-02-19T00:00:00.000Z,1,CONTRACT,"Former employee, less than 1 year",,1,2,Befristet für 4 Monate,"Koblenz, Rhineland-Palatinate",,Ehrliche Security Mitarbeiter anstellen,Angemessen bezahlt und es gibt kein Dresscode bis auf Stahlkappenschuhe Verbot,"Die Security nervt ( ich weiß jemand von denen hat einen Sender ) von dem Magnet Tor wo man rein und raus geht 🤔.... 
Das Tor hat sogar dann gepiepst als ich 0 % Metal an hatte 😪",3,3,1,befristet für 4 monate,ehrliche security mitarbeiter anstellen,angemessen bezahlt und es gibt kein dresscode bis auf stahlkappenschuhe verbot,die security nervt ich weiß jemand von denen hat einen sender von dem magnet tor wo man rein und raus geht 🤔 das tor hat sogar dann gepiepst als ich 0 metal hatte 😪
63,2025-02-18T00:00:00.000Z,4,REGULAR,Current employees,APPROVE,4,4,Fulfillment worker,"San Antonio, TX",L1 Associate,,#NAME?,#NAME?,4,3,4,fulfillment worker, ,name,name
64,2025-02-18T00:00:00.000Z,9,REGULAR,Current employees,NO_OPINION,4,3,Senior Program Manager | Lean Methodologies | Learning &amp; Quality Excellence | Driving Operational Efficiency,"Carrollton, TX",Sr Program Manager,"Trust your team to get the job done, and reward them when they do. ","Growth &amp; Development
Relationships
Innovation
Fun
The Actual Work is Awesome",The cons are the same as they would be at any job.,3,3,2,senior program manager lean methodologies learning amp quality excellence driving operational efficiency,trust team get job done reward,growth amp development relationships innovation fun actual work awesome,cons would job
65,2025-02-18T00:00:00.000Z,0,REGULAR,Current employee,,5,0,Good,"Brampton, ON",Warehouse Associate,,"Good benefits 
Environment
Team work 
Great pay",I don’t think there is any downside,0,0,0,good, ,good benefits environment team work great pay,don’t think downside
